x y errorx errory
1.000000 1.000000 0.0 0.000000
51.000000 0.138803 0.0 0.108736
101.000000 0.082522 0.0 0.062201
151.000000 0.059939 0.0 0.044011
201.000000 0.059939 0.0 0.044011
251.000000 0.070296 0.0 0.045836
301.000000 0.076712 0.0 0.061185
351.000000 0.060388 0.0 0.043252
401.000000 0.067489 0.0 0.047046
451.000000 0.064511 0.0 0.044856
501.000000 0.061189 0.0 0.043541
551.000000 0.059139 0.0 0.043301
601.000000 0.067301 0.0 0.046561
651.000000 0.058502 0.0 0.043787
701.000000 0.058810 0.0 0.043829
751.000000 0.059114 0.0 0.043950
801.000000 0.072885 0.0 0.057373
851.000000 0.069775 0.0 0.046185
901.000000 0.064705 0.0 0.043721
951.000000 0.074214 0.0 0.062242
1001.000000 0.068331 0.0 0.043806
1051.000000 0.058313 0.0 0.043397
1101.000000 0.059751 0.0 0.043360
1151.000000 0.068526 0.0 0.046512
1201.000000 0.071097 0.0 0.045917
1251.000000 0.066222 0.0 0.046738
1301.000000 0.060460 0.0 0.043775
1351.000000 0.066664 0.0 0.047136
1401.000000 0.066397 0.0 0.044049
1451.000000 0.062249 0.0 0.043550
1501.000000 0.058502 0.0 0.043787
1551.000000 0.062322 0.0 0.043304
1601.000000 0.063898 0.0 0.044871
1651.000000 0.062935 0.0 0.043409
1701.000000 0.080660 0.0 0.061580
1751.000000 0.061073 0.0 0.043813
1801.000000 0.059964 0.0 0.043363
1851.000000 0.061921 0.0 0.043929
1901.000000 0.067301 0.0 0.046561
1951.000000 0.071885 0.0 0.049663
2001.000000 0.060576 0.0 0.043409
