i node1 node2 node3 node4 node5 node6 node7 node8 node9 node10
1.000000 0.282780 0.155786 0.210270 0.135817 0.284944 0.129239 0.180722 0.146824 0.282049 0.286223
51.000000 -0.050645 0.114197 -0.029999 0.175187 0.786363 0.247747 0.061287 0.372083 -0.135095 0.188797
101.000000 -0.314828 0.039923 -0.473730 0.277974 0.002618 0.037440 0.692078 0.562218 -0.475237 0.488601
151.000000 0.132270 0.168102 -0.083946 0.216318 -0.497082 -0.098572 0.561596 0.250487 -0.800998 0.916623
201.000000 -0.142493 -0.282396 0.313865 -0.284454 -0.347536 0.090074 1.491050 0.224078 -1.204255 1.135122
251.000000 -0.873830 -0.262397 0.888436 -0.178410 -0.454610 -0.147495 1.732219 0.834918 -1.048495 1.654697
301.000000 -0.958985 -0.557804 1.487970 -0.711162 -0.268974 -0.717592 2.028253 0.145978 -0.540444 2.210351
351.000000 -1.406731 -0.279044 2.201575 -0.701443 -0.019096 -1.069941 1.947248 0.310205 -0.334630 1.431642
401.000000 -0.999305 0.003426 2.461314 -0.644600 0.004332 -0.910795 1.677046 0.440615 -0.878420 2.163747
451.000000 -0.800576 -0.526965 2.075180 -0.233653 0.270127 -0.919192 0.950273 0.476833 -1.087613 2.849398
